iter	Passed	Remaining
0	0	88
1	1	81
2	2	79
3	3	74
4	3	74
5	4	72
6	5	72
7	6	70
8	7	70
9	7	70
10	8	68
11	9	68
12	9	66
13	10	65
14	11	64
15	12	64
16	12	62
17	13	61
18	14	60
19	14	59
20	15	58
21	16	57
22	16	56
23	17	55
24	18	54
25	18	53
26	19	52
27	20	52
28	21	51
29	21	50
30	22	49
31	23	48
32	23	48
33	24	47
34	25	46
35	25	45
36	26	45
37	27	44
38	27	43
39	28	42
40	29	41
41	29	40
42	30	39
43	30	39
44	31	38
45	32	37
46	32	37
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	30
56	40	30
57	40	29
58	41	28
59	42	28
60	43	27
61	43	26
62	44	26
63	45	25
64	45	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	51	20
72	52	19
73	52	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	57	13
81	58	12
82	59	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	64	7
90	64	6
91	65	5
92	66	4
93	66	4
94	67	3
95	68	2
96	68	2
97	69	1
98	70	0
99	70	0
